Capture_22:222,
339.649,-68.08
340.028,-68.08
340.406,-68.08
340.785,-143.97
341.163,-16.68
341.541,-72.98
341.919,-131.73
342.298,-180.69
342.676,-46.05
343.054,-143.97
343.432,-70.53
343.81,-46.05
344.188,61.66
344.566,46.97
344.944,-26.47
345.322,-14.23
345.7,51.87
346.078,66.55
346.456,147.34
346.834,149.79
347.211,208.54
347.589,51.87
347.967,171.82
348.344,220.78
348.722,257.5
349.099,306.46
349.477,257.5
349.854,228.12
350.232,321.15
350.609,262.39
350.986,350.52
351.364,311.35
351.741,365.21
352.118,382.34
352.495,352.97
352.872,294.22
353.249,362.76
353.627,438.65
354.004,445.99
354.38,475.37
354.757,494.95
355.134,470.47
355.511,426.41
355.888,423.96
356.265,458.23
356.641,458.23
357.018,509.64
357.395,468.02
357.771,419.06
358.148,421.51
358.524,397.03
358.901,485.16
359.277,387.24
359.654,460.68
360.03,455.78
360.406,419.06
360.783,487.61
361.159,453.34
361.535,450.89
361.911,399.48
362.287,445.99
362.663,357.86
363.039,404.38
363.415,387.24
363.791,421.51
364.167,389.69
364.543,370.1
364.919,433.75
365.295,472.92
365.671,401.93
366.046,392.14
366.422,382.34
366.797,375
367.173,394.58
367.549,406.82
367.924,377.45
368.3,382.34
368.675,326.04
369.05,350.52
369.426,419.06
369.801,340.73
370.176,382.34
370.551,468.02
370.927,318.7
371.302,416.62
371.677,470.47
372.052,475.37
372.427,436.2
372.802,453.34
373.177,404.38
373.552,445.99
373.927,428.86
374.301,433.75
374.676,433.75
375.051,453.34
375.425,472.92
375.8,436.2
376.175,428.86
376.549,355.42
376.924,379.9
377.298,433.75
377.673,468.02
378.047,504.74
378.421,428.86
378.796,441.1
379.17,443.54
379.544,426.41
379.918,448.44
380.293,421.51
380.667,480.26
381.041,433.75
381.415,458.23
381.789,411.72
382.163,426.41
382.537,382.34
382.91,487.61
383.284,485.16
383.658,480.26
384.032,409.27
384.405,504.74
384.779,470.47
385.153,443.54
385.526,475.37
385.9,416.62
386.273,570.84
386.647,514.54
387.02,546.36
387.393,526.78
387.767,521.88
388.14,526.78
388.513,590.42
388.886,592.87
389.26,583.08
389.633,546.36
390.006,607.56
390.379,683.45
390.752,644.28
391.125,683.45
391.498,666.31
391.871,764.23
392.243,744.65
392.616,734.85
392.989,822.98
393.362,886.63
393.734,979.65
394.107,994.34
394.479,1018.82
394.852,1136.32
395.224,1177.94
395.597,1239.14
395.969,1290.55
396.342,1361.54
396.714,1513.31
397.086,1731.18
397.458,1902.54
397.831,2218.33
398.203,2482.72
398.575,2832.78
398.947,3515.77
399.319,4453.34
399.691,6411.73
400.063,12326.06
400.435,34847.52
400.807,63026.27
401.178,63026.27
401.55,63026.27
401.922,63026.27
402.294,63026.27
402.665,63026.27
403.037,63026.27
403.408,52149.88
403.78,17043.33
404.151,9603.9
404.523,6436.21
404.894,4778.93
405.266,3770.36
405.637,3155.91
406.008,2654.07
406.379,2294.22
406.751,2321.15
407.122,1816.86
407.493,1657.74
407.864,1572.07
408.235,1505.97
408.606,1341.95
408.977,1310.13
409.348,1222
409.718,1207.32
410.089,1097.16
410.46,984.55
410.831,930.69
411.201,1028.61
411.572,972.31
411.943,842.57
412.313,849.91
412.684,759.33
413.054,798.5
413.425,663.86
413.795,715.27
414.165,744.65
414.536,600.22
414.906,796.05
415.276,710.37
415.646,725.06
416.016,622.25
416.386,610.01
416.756,639.38
417.126,629.59
417.496,685.89
417.866,590.42
418.236,556.15
418.606,580.63
418.976,590.42
419.345,421.51
419.715,605.11
420.085,587.98
420.454,507.19
420.824,614.9
421.194,651.62
421.563,558.6
421.932,573.29
422.302,602.66
422.671,612.46
423.041,512.09
423.41,504.74
423.779,580.63
424.148,546.36
424.517,556.15
424.886,443.54
425.256,526.78
425.625,531.67
425.993,597.77
426.362,524.33
426.731,570.84
427.1,539.02
427.469,507.19
427.838,583.08
428.206,521.88
428.575,546.36
428.944,490.06
429.312,573.29
429.681,565.94
430.049,512.09
430.418,617.35
430.786,504.74
431.155,516.98
431.523,519.43
431.891,624.7
432.259,573.29
432.628,541.46
432.996,578.18
433.364,607.56
433.732,867.05
434.1,1070.23
434.468,1226.9
434.836,1146.12
435.204,871.94
435.572,796.05
435.939,644.28
436.307,482.71
436.675,607.56
437.043,543.91
437.41,487.61
437.778,587.98
438.145,668.76
438.513,534.12
438.88,580.63
439.248,592.87
439.615,617.35
439.982,570.84
440.35,600.22
440.717,521.88
441.084,565.94
441.451,563.5
441.818,565.94
442.186,541.46
442.553,590.42
442.92,612.46
443.287,570.84
443.653,587.98
444.02,614.9
444.387,590.42
444.754,531.67
445.121,610.01
445.487,592.87
445.854,548.81
446.22,526.78
446.587,590.42
446.954,580.63
447.32,565.94
447.686,534.12
448.053,568.39
448.419,565.94
448.785,580.63
449.152,534.12
449.518,546.36
449.884,592.87
450.25,612.46
450.616,634.49
450.982,521.88
451.348,695.69
451.714,551.26
452.08,551.26
452.446,578.18
452.812,570.84
453.178,602.66
453.543,595.32
453.909,600.22
454.275,622.25
454.64,644.28
455.006,600.22
455.371,587.98
455.737,585.53
456.102,580.63
456.467,646.73
456.833,644.28
457.198,602.66
457.563,578.18
457.928,614.9
458.294,656.52
458.659,607.56
459.024,536.57
459.389,622.25
459.754,622.25
460.119,597.77
460.484,685.89
460.848,568.39
461.213,614.9
461.578,575.74
461.943,597.77
462.307,666.31
462.672,558.6
463.037,636.94
463.401,573.29
463.766,636.94
464.13,587.98
464.494,597.77
464.859,676.1
465.223,634.49
465.587,646.73
465.952,568.39
466.316,651.62
466.68,715.27
467.044,617.35
467.408,651.62
467.772,632.04
468.136,634.49
468.5,612.46
468.864,641.83
469.228,644.28
469.591,614.9
469.955,617.35
470.319,634.49
470.682,683.45
471.046,587.98
471.41,641.83
471.773,656.52
472.137,636.94
472.5,759.33
472.863,617.35
473.227,712.82
473.59,646.73
473.953,725.06
474.316,658.97
474.68,725.06
475.043,676.1
475.406,636.94
475.769,759.33
476.132,634.49
476.495,715.27
476.858,685.89
477.221,676.1
477.583,727.51
477.946,690.79
478.309,705.48
478.671,656.52
479.034,764.23
479.397,756.89
479.759,722.61
480.122,754.44
480.484,705.48
480.847,695.69
481.209,703.03
481.571,739.75
481.933,715.27
482.296,847.46
482.658,734.85
483.02,734.85
483.382,756.89
483.744,749.54
484.106,712.82
484.468,734.85
484.83,769.13
485.192,742.2
485.554,756.89
485.915,720.17
486.277,754.44
486.639,727.51
487,710.37
487.362,786.26
487.724,732.41
488.085,705.48
488.447,766.68
488.808,712.82
489.169,820.53
489.531,749.54
489.892,725.06
490.253,707.93
490.614,720.17
490.976,783.81
491.337,771.57
491.698,729.96
492.059,771.57
492.42,756.89
492.781,783.81
493.141,774.02
493.502,796.05
493.863,734.85
494.224,781.37
494.584,783.81
494.945,685.89
495.306,698.13
495.666,710.37
496.027,690.79
496.387,715.27
496.748,744.65
497.108,771.57
497.468,742.2
497.829,683.45
498.189,729.96
498.549,744.65
498.909,705.48
499.269,720.17
499.629,725.06
499.989,565.94
500.349,710.37
